Date,BTC,ETH
01/01/2018,13657.2002,772.640991
02/01/2018,14982.09961,884.44397
03/01/2018,15201,962.719971
04/01/2018,15599.2002,980.921997
05/01/2018,17429.5,997.719971
06/01/2018,17527,1041.680054
07/01/2018,16477.59961,1153.170044
08/01/2018,15170.09961,1148.530029
09/01/2018,14595.40039,1299.73999
10/01/2018,14973.29981,1255.819946
11/01/2018,13405.79981,1154.930054
12/01/2018,13980.59961,1273.199951
13/01/2018,14360.2002,1396.420044
14/01/2018,13772,1366.77002
15/01/2018,13819.79981,1291.920044
16/01/2018,11490.5,1053.689941
17/01/2018,11188.59961,1014.25
18/01/2018,11474.90039,1036.280029
19/01/2018,11607.40039,1039.099976
20/01/2018,12899.2002,1155.150024
21/01/2018,11600.09961,1049.579956
22/01/2018,10931.40039,1003.26001
23/01/2018,10868.40039,986.229004
24/01/2018,11359.40039,1058.780029
25/01/2018,11259.40039,1056.030029
26/01/2018,11171.40039,1055.170044
27/01/2018,11440.7002,1107.069946
28/01/2018,11786.29981,1246.01001
29/01/2018,11296.40039,1182.359985
30/01/2018,10106.29981,1071.130005
31/01/2018,10221.09961,1118.310059
01/02/2018,9170.540039,1036.790039
02/02/2018,8830.75,915.784973
03/02/2018,9174.910156,964.018982
04/02/2018,8277.009766,834.682007
05/02/2018,6955.27002,697.950989
06/02/2018,7754,793.122009
07/02/2018,7621.299805,757.067993
08/02/2018,8265.589844,817.807007
09/02/2018,8736.980469,883.86499
10/02/2018,8621.900391,860.414978
11/02/2018,8129.970215,814.659973
12/02/2018,8926.570313,868.70697
13/02/2018,8598.30957,845.257996
14/02/2018,9494.629883,923.560974
15/02/2018,10166.40039,936.976013
16/02/2018,10233.90039,944.210022
17/02/2018,11112.7002,974.11499
18/02/2018,10551.79981,923.921021
19/02/2018,11225.29981,943.86499
20/02/2018,11403.7002,895.370972
21/02/2018,10690.40039,849.971008
22/02/2018,10005,812.844971
23/02/2018,10301.09961,864.189026
